RPMI	Sera	Contrib.RPMI	Contrib.Sera	Contrib	GroupContrib	color	importance
HMDB0000273	-0.936441679506238	0.973458751871459	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.431075367887797
HMDB0000673	-0.920998335206989	0.941487360857373	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.400127661263207
HMDB0000067	-0.92621433161225	0.930067815990353	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.391175023680779
HMDB0003229	-0.878381313470047	0.933139263510301	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.36485372663708
HMDB0000207	-1.01912554155198	0.932837719389295	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.351315589690483
HMDB0001043	-0.931322117559645	0.909032134932435	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.33924250694712
HMDB0000573	-0.851667113104804	0.919992402193809	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.275212431947481
HMDB0000355	-0.872951519019074	0.868332327972163	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.216001326489767
HMDB0000646	0.9306718059327	-0.914071883085835	FALSE	TRUE	FALSE	Sera	#F68B33	0.0681926426348389
HMDB0000765	0.689974898089576	-1.00557312552979	FALSE	TRUE	FALSE	Sera	#F68B33	0.0487742408158843
