RPMI	Sera	Contrib.RPMI	Contrib.Sera	Contrib	GroupContrib	color	importance
EW032_RS09390	0.194552687854524	-0.0294665392155789	TRUE	FALSE	FALSE	RPMI	#388ECC	0.063781518989116
EW032_RS05605	0.195725557168347	-0.446699030299418	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.062190901981346
EW032_RS01050	0.378906794908659	0.224744119376962	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0592295044614262
EW032_RS05940	-0.468430155215249	0.199570598250936	FALSE	TRUE	FALSE	Sera	#F68B33	0.0589831709212584
EW032_RS06255	0.184875894590372	-0.207878099998339	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0586739259534888
EW032_RS06250	-0.105780461803698	-0.291242928615619	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0583610904303208
EW032_RS01045	0.567232957292515	-0.246345403244929	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0579114787895671
EW032_RS04250	0.0474936650229233	-0.131485076217644	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0577304856462322
EW032_RS05610	-0.0499957510861121	-0.571998376108574	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0569937121832361
EW032_RS04170	-0.0498202716238093	-0.242028212495912	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0568989942513912
EW032_RS06240	0.19038868672643	-0.349107693437998	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0568763460810317
EW032_RS04280	-0.480683637602777	0.319703274828655	FALSE	TRUE	FALSE	Sera	#F68B33	0.0567421747967952
EW032_RS02915	-0.175562544678636	0.254356228339385	FALSE	TRUE	FALSE	Sera	#F68B33	0.0567101535165672
EW032_RS01915	-0.0897932086347012	-0.0197841068126463	FALSE	TRUE	FALSE	Sera	#F68B33	0.0564849034082867
EW032_RS05600	-0.089860140530219	-0.0875248706542725	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0563222234545872
EW032_RS06245	-0.0991429380519426	-0.38577031774639	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0556650420352174
EW032_RS02910	-0.158887179159501	0.23980318271483	FALSE	TRUE	FALSE	Sera	#F68B33	0.0546524921991956
EW032_RS06595	-0.508477398006933	0.00183880891129333	FALSE	TRUE	FALSE	Sera	#F68B33	0.0545375175125447
EW032_RS07845	0.0312077436482682	-0.269585690243603	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0542578244935911
EW032_RS02575	0.307259732630795	-0.329973071701461	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0542236739777746
EW032_RS06260	0.32387977424458	-0.538325604710639	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0539587861006121
EW032_RS04575	-0.180254908169854	0.117906342176946	FALSE	TRUE	FALSE	Sera	#F68B33	0.0534036231275406
EW032_RS05075	-0.330093700190653	-0.261982920072086	FALSE	TRUE	FALSE	Sera	#F68B33	0.053354361327175
EW032_RS09730	-0.069983866936278	0.687415876187719	FALSE	TRUE	FALSE	Sera	#F68B33	0.0532089444187612
EW032_RS01040	0.776593573267464	-0.372940039956938	TRUE	FALSE	FALSE	RPMI	#388ECC	0.052596821847629
EW032_RS03865	0.588621245957745	-0.587449904930881	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0522564915265288
EW032_RS09340	0.4239373494154	-0.344598441776899	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0518475818885208
EW032_RS06970	-0.0794997529940483	-0.0713150660533943	FALSE	TRUE	FALSE	Sera	#F68B33	0.0518388494794678
EW032_RS05935	-0.500004482921407	0.042966879928751	FALSE	TRUE	FALSE	Sera	#F68B33	0.0517745414550404
EW032_RS06605	-0.207565833332744	0.0342564608432504	FALSE	TRUE	FALSE	Sera	#F68B33	0.0513737961687569
EW032_RS12125	0.118966593060461	0.167943251236747	FALSE	TRUE	FALSE	Sera	#F68B33	0.0508367236393184
EW032_RS10405	-0.353724263703331	0.0553145764788511	FALSE	TRUE	FALSE	Sera	#F68B33	0.0507061982579635
