RPMI	Sera	Contrib.RPMI	Contrib.Sera	Contrib	GroupContrib	color	importance
EW031_RS01350	0.358537569275699	0.0691332162194137	FALSE	TRUE	FALSE	Sera	#F68B33	0.066117714759691
EW031_RS10250	-0.00275981117332236	0.190131756013615	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0630294383178955
EW031_RS03905	-0.389321752810669	0.200350930177734	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0617833088733948
EW031_RS13795	0.0669726203391845	-0.108080289099447	FALSE	TRUE	FALSE	Sera	#F68B33	-0.061452005702876
EW031_RS03575	0.132204865848897	-0.251415389578604	FALSE	TRUE	FALSE	Sera	#F68B33	0.060723766168804
EW031_RS04530	0.0969967152150164	-0.299157269227	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0593960257673935
EW031_RS08935	0.0799689699915202	0.17648373723436	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0584918474996776
EW031_RS08940	-0.0728317203030561	0.264714930132003	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0576030422094081
EW031_RS09340	-0.275833424203655	0.308642727462921	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0560152575201479
EW031_RS06735	-0.186684270895238	-0.277121652917359	FALSE	TRUE	FALSE	Sera	#F68B33	0.0558232830883673
EW031_RS08930	-0.248285008392325	0.489345041459809	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0554598252265005
EW031_RS05880	0.505586076153399	-0.44536196479006	FALSE	TRUE	FALSE	Sera	#F68B33	0.055231676669714
EW031_RS13715	0.164915370131598	0.309191285632709	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0550956418107028
EW031_RS08870	0.121656118264761	0.410616985010151	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0549749036131874
EW031_RS13985	-0.0706469839472668	0.724962701845853	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.05461950344714
EW031_RS01825	0.291620469299313	0.0755178813525061	FALSE	TRUE	FALSE	Sera	#F68B33	0.0529539286321351
EW031_RS02495	0.325309049313512	0.344805591761113	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0524516077268523
EW031_RS01345	0.253097008108739	-0.025156785400422	FALSE	TRUE	FALSE	Sera	#F68B33	0.0522880842257832
EW031_RS05450	0.304276251745347	-0.454817055282057	FALSE	TRUE	FALSE	Sera	#F68B33	0.0520550340629652
EW031_RS10245	0.584558112564986	-0.481232485856104	FALSE	TRUE	FALSE	Sera	#F68B33	0.0518485009558734
EW031_RS09770	-0.340067599344322	0.374298967675993	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0516565521350498
EW031_RS07565	0.630838850554051	-0.231968253299628	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0509593869535644
EW031_RS02470	0.480477483524832	-0.205262369925616	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0505313050686412
EW031_RS00015	-0.000280801825173052	-0.181917070258004	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0504754396881046
EW031_RS02105	0.272076036781288	-0.326498710010213	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0504540922825914
EW031_RS08750	-0.325966087524168	0.472939131995237	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0503830458672937
EW031_RS06745	-0.498609951607011	0.748801425677248	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0503229723363257
EW031_RS05890	0.574669744161221	0.0846391739048538	FALSE	TRUE	FALSE	Sera	#F68B33	0.0503204310016989
EW031_RS09335	0.367941164209192	-0.129247269436703	FALSE	TRUE	FALSE	Sera	#F68B33	0.0501312326900144
EW031_RS01835	0.448148415772875	-0.248527985254659	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0497797038278646
EW031_RS14445	-0.192742488112488	0.0664562248340799	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0497065755535816
EW031_RS09155	0.365476279975378	-0.44445324272833	FALSE	TRUE	FALSE	Sera	#F68B33	0.0492051495330125
EW031_RS10685	0.00806911635282932	-0.0232301601354851	FALSE	TRUE	FALSE	Sera	#F68B33	0.0483453838109233
