RPMI	Sera	Contrib.RPMI	Contrib.Sera	Contrib	GroupContrib	color	importance
HMDB0000094	-0.0322986509538076	-0.0170707089843562	FALSE	TRUE	FALSE	Sera	#F68B33	0.200692299471181
HMDB0000426	-0.200397605858043	-0.470412367617609	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.183841760590654
HMDB0000190	-0.122323467063096	-0.266145539791743	TRUE	FALSE	FALSE	RPMI	#388ECC	0.176922095057875
HMDB0000625	-0.728130384628835	0.0488504716319026	FALSE	TRUE	FALSE	Sera	#F68B33	-0.16947208699448
HMDB0000904	-0.0999344712204545	-0.149941667388967	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.166957688849456
HMDB0000008	-0.0899542508237617	-0.0943076339282827	TRUE	FALSE	FALSE	RPMI	#388ECC	0.166394361853035
HMDB0000807	-0.712066155308345	0.620890929742969	FALSE	TRUE	FALSE	Sera	#F68B33	0.163088184657618
HMDB0000206	-0.256486945166523	0.484271876962127	FALSE	TRUE	FALSE	Sera	#F68B33	-0.162131172930215
HMDB0000132	-0.229422613482755	0.0322792709482697	FALSE	TRUE	FALSE	Sera	#F68B33	0.16022958398008
HMDB0000362	-0.681395585425712	0.751470711004688	FALSE	TRUE	FALSE	Sera	#F68B33	0.160188811588725
HMDB0000661	0.764394093880193	-0.77797336729201	TRUE	FALSE	FALSE	RPMI	#388ECC	0.15600886717585
HMDB0000214	0.11854215811819	-0.208276890232503	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.155906539578891
HMDB0001401	0.588890484069735	-0.53197860341795	TRUE	FALSE	FALSE	RPMI	#388ECC	0.145476112868266
HMDB0000532	0.263205325253804	0.30649927696069	FALSE	TRUE	FALSE	Sera	#F68B33	0.140379628341741
HMDB0000779	-0.167972542037353	-0.0270777515447396	FALSE	TRUE	FALSE	Sera	#F68B33	0.139736141627119
HMDB0000226	-0.358192255493517	-0.101358431344038	FALSE	TRUE	FALSE	Sera	#F68B33	-0.125140173508777
HMDB0002467	-0.468633500895564	0.381770649397472	FALSE	TRUE	FALSE	Sera	#F68B33	-0.124784598323018
HMDB0000177	0.116470942428502	-0.325283765996834	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.121640469950585
HMDB0000663	0.15620227418005	0.255424623798666	FALSE	TRUE	FALSE	Sera	#F68B33	-0.121343573430222
HMDB0000996	-0.385159136082305	0.410603365571836	FALSE	TRUE	FALSE	Sera	#F68B33	0.120726812083095
HMDB0000123	-0.262752889452246	-0.194183769198151	FALSE	TRUE	FALSE	Sera	#F68B33	0.120483014879717
HMDB0000357	0.749049636180116	-0.864796623107582	TRUE	FALSE	FALSE	RPMI	#388ECC	0.11944376619402
HMDB0001078	0.218298764134761	-0.179117899608379	TRUE	FALSE	FALSE	RPMI	#388ECC	0.116942227990201
HMDB0000139	0.405461708627265	-0.41065670094136	TRUE	FALSE	FALSE	RPMI	#388ECC	0.116882420487841
HMDB0042032	0.291253789752329	-0.153458587762987	TRUE	FALSE	FALSE	RPMI	#388ECC	0.110827394789548
HMDB0001076	-0.02954057746545	0.390677576004308	FALSE	TRUE	FALSE	Sera	#F68B33	0.109394990104389
HMDB0001844	0.785922702515644	-0.394748497477033	TRUE	FALSE	FALSE	RPMI	#388ECC	0.107759939071782
HMDB0000254	-0.335839887269982	-0.0387792521361169	FALSE	TRUE	FALSE	Sera	#F68B33	0.106123866451353
HMDB0000749	0.781059471056702	-0.805122173172036	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.106009466472598
HMDB0000263	-0.815250561108897	0.863302630341415	FALSE	TRUE	FALSE	Sera	#F68B33	0.103710047101368
HMDB0000157	0.0911406536022772	0.0724393941542409	TRUE	FALSE	FALSE	RPMI	#388ECC	0.101371843634047
