RPMI	Sera	Contrib.RPMI	Contrib.Sera	Contrib	GroupContrib	color	importance
HMDB0001043	-0.962047989641823	0.951178974073992	FALSE	TRUE	FALSE	Sera	#F68B33	0.129613481978127
HMDB0000965	-0.970581619759483	0.93837392380965	FALSE	TRUE	FALSE	Sera	#F68B33	0.127932454151052
HMDB0000067	-0.972751071649617	0.943843162404247	FALSE	TRUE	FALSE	Sera	#F68B33	0.127860389500834
HMDB0003911	-0.950263440848108	0.964253329366297	FALSE	TRUE	FALSE	Sera	#F68B33	0.127502223577306
HMDB0000099	-0.874418688282885	0.845979336157838	FALSE	TRUE	FALSE	Sera	#F68B33	0.126598758901945
HMDB0000673	-0.864877048415495	0.924766742157076	FALSE	TRUE	FALSE	Sera	#F68B33	0.126436523241064
HMDB0000216	0.946898628609349	-0.881770854646648	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.124330749426113
HMDB0000283	0.948409950102838	-0.888454345956252	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.123923173774892
HMDB0000207	-0.92695992163014	0.934171818474483	FALSE	TRUE	FALSE	Sera	#F68B33	0.123794550328815
HMDB0003229	-0.90885171358637	0.947848255604403	FALSE	TRUE	FALSE	Sera	#F68B33	0.123155369717526
HMDB0000355	-0.981749351606017	0.824371844140516	FALSE	TRUE	FALSE	Sera	#F68B33	0.122885717768325
HMDB0000883	-1.06660808676218	0.921800661445982	FALSE	TRUE	FALSE	Sera	#F68B33	0.122790982870705
HMDB0002931	0.817873914284343	-1.00514709299466	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.120397241575895
HMDB0000694	-0.94690275783772	0.950865333912835	FALSE	TRUE	FALSE	Sera	#F68B33	0.120303257788736
HMDB0000182	-0.979935128456332	0.96393296173992	FALSE	TRUE	FALSE	Sera	#F68B33	0.117678948905317
HMDB0001414	-1.02848415604769	0.811732869579197	FALSE	TRUE	FALSE	Sera	#F68B33	0.117347437470525
HMDB0000161	-1.00327988606902	0.872359772499943	FALSE	TRUE	FALSE	Sera	#F68B33	0.116231826029191
HMDB0000765	0.921334821380328	-0.978459943051064	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.115779425706098
HMDB0001406	-0.844921208814041	0.76653620413487	FALSE	TRUE	FALSE	Sera	#F68B33	0.114947282501747
HMDB0000050	-0.921160671141904	0.938180442910656	FALSE	TRUE	FALSE	Sera	#F68B33	0.114290718325115
HMDB0000428	-0.600137338916532	0.882713499769084	FALSE	TRUE	FALSE	Sera	#F68B33	0.114205522413056
HMDB0000641	-0.747736875801023	0.843163350232368	FALSE	TRUE	FALSE	Sera	#F68B33	0.113437414228993
HMDB0003357	0.737606630466202	-0.731635361765577	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.112970788838235
HMDB0000133	-0.891809732939594	0.7838459604139	FALSE	TRUE	FALSE	Sera	#F68B33	0.112204272551672
HMDB0003338	0.933598693872117	-0.856274918002309	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.112017741065111
HMDB0000725	-0.889885962364154	0.840531519732284	FALSE	TRUE	FALSE	Sera	#F68B33	0.111628166330132
HMDB0000092	-0.857247486081668	0.844693118234801	FALSE	TRUE	FALSE	Sera	#F68B33	0.111565156286101
HMDB0001870	0.79880347661593	-0.898361236682434	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.110549549001626
L..13C5.15N..Valine	0.72705186957268	-1.07841944540795	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.110328022056998
HMDB0000211	-1.01932348484021	0.962571635907143	FALSE	TRUE	FALSE	Sera	#F68B33	0.110165327449521
HMDB0000573	-0.903479904413052	0.997537592512707	FALSE	TRUE	FALSE	Sera	#F68B33	0.109305787477956
HMDB0034252	0.859895152784844	-0.94476106363115	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.109063740512244
HMDB0000452	-0.747555709483324	0.840392042902247	FALSE	TRUE	FALSE	Sera	#F68B33	0.108493647465396
HMDB0000159	-0.733568594045511	0.792659267597932	FALSE	TRUE	FALSE	Sera	#F68B33	0.108130618893943
HMDB0000220	-0.707857952780331	0.73325824180839	FALSE	TRUE	FALSE	Sera	#F68B33	0.107722360725206
HMDB0000754	0.689648008648024	-0.833118333643486	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.107039120353156
HMDB0000149	-0.784143171443317	0.499361331009561	FALSE	TRUE	FALSE	Sera	#F68B33	0.10702866969381
HMDB0000167	0.604873442651994	-0.79814052201713	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.106594424928834
HMDB0003424	-0.761238804640563	0.661134267236404	FALSE	TRUE	FALSE	Sera	#F68B33	0.106082136346379
HMDB0000162	0.803231524042936	-0.570333193970249	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.103599665150728
HMDB0000191	0.748180419579335	-0.983777476973192	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.102955995069387
HMDB0000303	-0.974909590924273	0.993566903817747	FALSE	TRUE	FALSE	Sera	#F68B33	0.10225611185965
HMDB0000687	-1.02883080327779	0.861517975583069	FALSE	TRUE	FALSE	Sera	#F68B33	0.102251973294468
HMDB0000638	0.877324599488123	-0.833708749087598	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.101547261943489
