RPMI	Sera	Contrib.RPMI	Contrib.Sera	Contrib	GroupContrib	color	importance
EW033_RS14235	0.435576839313492	-0.990608273275832	FALSE	TRUE	FALSE	Sera	#F68B33	0.031854882644121
EW033_RS10200	0.312506310857961	-0.955285725643999	FALSE	TRUE	FALSE	Sera	#F68B33	0.0317536388430481
EW033_RS01580	0.320308308623878	-0.919087436572631	FALSE	TRUE	FALSE	Sera	#F68B33	0.0317116804465142
EW033_RS14185	0.550381100662822	-0.892425411344895	FALSE	TRUE	FALSE	Sera	#F68B33	0.0315443136676139
EW033_RS14190	0.337496431948673	-0.780597386732279	FALSE	TRUE	FALSE	Sera	#F68B33	0.0314851722502473
EW033_RS15525	0.285889159591028	-0.581301883415167	FALSE	TRUE	FALSE	Sera	#F68B33	0.0311987218617809
EW033_RS14180	0.524067271904668	-0.793085898598617	FALSE	TRUE	FALSE	Sera	#F68B33	0.0311140580781879
EW033_RS13610	0.230819173250334	-0.589718482403212	FALSE	TRUE	FALSE	Sera	#F68B33	0.0310664036857083
EW033_RS01585	0.0569704992113412	-0.598706644287806	FALSE	TRUE	FALSE	Sera	#F68B33	0.0309477150924798
EW033_RS09255	0.516545152638087	-0.921655035223371	FALSE	TRUE	FALSE	Sera	#F68B33	0.0309292193609282
EW033_RS08340	-0.377617074900762	0.936475022200991	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0309231943020362
EW033_RS13605	0.245788800391446	-0.966395399519994	FALSE	TRUE	FALSE	Sera	#F68B33	0.030824077628961
EW033_RS04100	0.519718378581392	-0.912810846664094	FALSE	TRUE	FALSE	Sera	#F68B33	0.0306992884414265
EW033_RS15520	0.13712412556808	-0.579211093196448	FALSE	TRUE	FALSE	Sera	#F68B33	0.0306454251195186
EW033_RS04035	0.421247913551159	-0.906903121804313	FALSE	TRUE	FALSE	Sera	#F68B33	0.0306002691652537
EW033_RS07180	0.566650156925439	-1.13310534656275	FALSE	TRUE	FALSE	Sera	#F68B33	0.0305945927529186
