X.RPMI	X.Sera	X.Contrib.RPMI	X.Contrib.Sera	X.Contrib	X.GroupContrib	X.color	X.importance
EW030_RS00070	0.905154145824785	-0.964366913040968	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0323192125221509
EW030_RS08915	-0.854200206393725	1.01979417238372	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0323102981368081
EW030_RS05200	0.887564742356087	-0.977052776761051	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0323087076100362
EW030_RS07960	0.918759756772041	-0.783559834375347	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0323073998090226
EW030_RS00720	0.799044760635009	-0.72098443628113	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0322857003404625
EW030_RS04760	0.795168263933104	-0.951302739360891	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0322504988744085
EW030_RS12340	1.02508211335111	-0.91924685313619	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0322002747192792
EW030_RS08335	-0.783371014392127	0.851072691172669	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0321927644679809
EW030_RS07355	-0.850670036845002	0.920807684262193	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0321839107989925
EW030_RS04410	0.916324112512493	-0.854540619796902	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0321813189461873
EW030_RS10895	-0.853370762193475	0.811311640089669	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0321796851379388
EW030_RS05870	0.855836956051444	-0.957425863491816	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0321678515459557
EW030_RS09935	0.889194662722377	-0.829906569532335	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0321592337246329
EW030_RS05210	0.875755377510836	-0.990429407355577	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0321546253423381
EW030_RS02505	-0.912853409353449	0.871156671135201	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0321519609382441
EW030_RS00735	-0.851182100115073	0.947980210471126	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0321280546601176
EW030_RS10760	-0.808709724343109	0.890223570942842	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0321087271204675
EW030_RS08450	-0.853336871152828	0.737787058862013	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0321004893747508
EW030_RS07025	0.858349327926215	-0.863052559532244	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0320700527249045
EW030_RS08065	0.913481509339479	-0.695686728806708	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0320510827699603
EW030_RS11570	0.919716899059208	-1.0170013728803	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0320470572406021
EW030_RS08010	0.953712583579427	-0.819332790252567	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0320368380810495
EW030_RS01595	0.936825278499838	-0.709285926403507	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0320240951520321
EW030_RS11115	-0.818480032888143	0.915875793070363	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0319648048494426
EW030_RS12230	0.863416564636306	-1.05037712336692	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0318838358502633
EW030_RS13035	-0.715389900553302	0.959769412268958	TRUE	FALSE	FALSE	RPMI	#388ECC	0.031881395225126
EW030_RS01385	-0.932122789892901	0.93165820196123	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0318762907663874
EW030_RS01390	-0.967828852547893	0.888381287439377	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0318530313392187
EW030_RS05245	1.02875919743738	-0.762275904951182	FALSE	TRUE	FALSE	Sera	#F68B33	-0.031828676767538
EW030_RS07770	-0.814457800544127	0.819603208572778	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0318282034463169
EW030_RS09050	0.752774992043214	-1.05272178390693	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0318155631215178
EW030_RS04775	0.998068889251435	-0.836396019366574	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0318137672778296
