X.RPMI	X.Sera	X.Contrib.RPMI	X.Contrib.Sera	X.Contrib	X.GroupContrib	X.color	X.importance
WP_000477505.1	-0.0380972307009978	0.494473933602578	FALSE	TRUE	FALSE	Sera	#F68B33	0.0600777956446104
WP_001190913.1	0.1712606174242	-0.729357799837012	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0600423575759085
WP_001126259.1	-0.00630000790055241	-0.457570046555222	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0598210768740734
WP_000838479.1	0.273656225883944	0.581361249927871	FALSE	TRUE	FALSE	Sera	#F68B33	0.0591207710370406
WP_000077571.1	-0.0121458929603954	0.221915487896115	FALSE	TRUE	FALSE	Sera	#F68B33	0.058844505500705
WP_000514290.1	-0.147339389930718	0.688976846033427	FALSE	TRUE	FALSE	Sera	#F68B33	0.0584960598477642
WP_000121119.1	-0.0601023536229714	0.70381388631393	FALSE	TRUE	FALSE	Sera	#F68B33	0.0582790106965672
WP_000691301.1	0.319776436616321	0.177075506333045	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0579785056546877
WP_000159631.1	-0.0806610630306956	0.734893135624751	FALSE	TRUE	FALSE	Sera	#F68B33	0.0568078200520181
WP_000516269.1	0.396391109222156	0.000393921884029702	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0566946036934523
WP_000872662.1	0.119405990068013	0.17376490161835	FALSE	TRUE	FALSE	Sera	#F68B33	0.0564745766545809
WP_000673098.1	0.0295067917393269	0.541780137108455	FALSE	TRUE	FALSE	Sera	#F68B33	0.0564115334671559
WP_000046704.1	0.130993625588976	-0.956016947590437	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.056020556904085
WP_001801936.1	-0.18966105035769	0.762875852752127	FALSE	TRUE	FALSE	Sera	#F68B33	0.0557649931536749
WP_000933195.1	-0.00197929998281508	0.643659439831376	FALSE	TRUE	FALSE	Sera	#F68B33	0.055347841541753
WP_001038317.1	-0.219270268964522	0.906986369116722	FALSE	TRUE	FALSE	Sera	#F68B33	0.0545016661465143
WP_001795108.1	-0.0275627405280383	0.308753834583867	FALSE	TRUE	FALSE	Sera	#F68B33	0.054460786089281
WP_000255578.1	0.155339385908595	0.331750168568373	FALSE	TRUE	FALSE	Sera	#F68B33	0.0540510258336022
WP_000620864.1	0.0702097863880703	-0.178273951729296	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0540374154458339
WP_000525078.1	0.393884192863119	-0.221316349105272	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0537597370177945
WP_000241344.1	-0.0534486514413485	0.358077036814324	FALSE	TRUE	FALSE	Sera	#F68B33	0.0535059010372178
WP_001236371.1	-0.15556034383014	0.4883703295377	FALSE	TRUE	FALSE	Sera	#F68B33	0.0529360706200556
WP_000435132.1	0.0198045524453118	-0.659693737797149	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0529125648932252
WP_000251253.1	0.140027473376673	-0.0195078915162407	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0528568540931422
WP_000198598.1	0.398972365271808	-0.143995359468396	TRUE	FALSE	FALSE	RPMI	#388ECC	0.05284008544828
WP_000756612.1	0.0367381791202572	0.550105803691719	FALSE	TRUE	FALSE	Sera	#F68B33	0.0527706632954242
WP_001031880.1	-0.1120218075829	0.67652402174782	FALSE	TRUE	FALSE	Sera	#F68B33	0.0526817326534594
WP_000589248.1	0.405774785711599	-0.0836844451317771	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0523784806443643
WP_000866737.1	0.510112125626054	-0.165028905140232	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0520838222412274
WP_000777575.1	0.449517877874933	-0.312864979525638	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0520340246085772
WP_000411084.1	-0.452108590358557	0.881750682912162	FALSE	TRUE	FALSE	Sera	#F68B33	0.0518499149288096
WP_000616885.1	-0.0203600498017418	0.54625439564157	FALSE	TRUE	FALSE	Sera	#F68B33	0.0518386060566147
WP_000664775.1	0.20232266474423	0.14417292197266	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0517616444348843
WP_000732076.1	0.377029040039777	-0.468927036993148	TRUE	FALSE	FALSE	RPMI	#388ECC	-0.0514506300557898
WP_000825515.1	-0.140603549320095	0.133331661338942	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0512321364810953
WP_000832260.1	0.180187348429198	-0.119714042340094	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0511883209864391
